Date,BTC,VIX,BTC_Return,VIX_Change,FearGreed,FundingRate,NextDay_Return,VIX_Lag1,Fear_Lag1,Fund_Lag1
2021-09-30,43790.89453125,23.13999938964844,0.0535682751816484,0.0257092170849404,20,-0.0006253166666666666,0.0987887304268892,23.13999938964844,20,-0.0006253166666666666
2021-10-01,48116.94140625,21.100000381469727,0.0987887304268892,-0.0881589914428128,27,-0.00099815,0.0189408735809843,21.100000381469727,27,-0.00099815
2021-10-04,49112.90234375,22.959999084472656,0.0189408735809843,0.0881515957050125,54,-0.0005100433333333333,0.0489058891172546,22.959999084472656,54,-0.0005100433333333333
2021-10-05,51514.8125,21.299999237060547,0.0489058891172546,-0.0722996478050702,59,-0.00026539,0.0746704982911468,21.299999237060547,59,-0.00026539
2021-10-06,55361.44921875,21.0,0.0746704982911468,-0.0140844717279881,68,-0.00045111,-0.02809653406297,21.0,68,-0.00045111
2021-10-07,53805.984375,19.540000915527344,-0.02809653406297,-0.0695237659272693,76,-0.00037688666666666664,0.0030082765538104,19.540000915527344,76,-0.00037688666666666664
2021-10-08,53967.84765625,18.770000457763672,0.0030082765538104,-0.0394063675376696,74,0.0001,0.0495368406458527,18.770000457763672,74,0.0001
2021-10-11,57484.7890625,20.0,0.0495368406458527,0.0655300752391603,71,0.00019452666666666666,-0.0251149998511834,20.0,71,0.00019452666666666666
2021-10-12,56041.05859375,19.850000381469727,-0.0251149998511834,-0.0074999809265137,78,0.0001,0.0242686183421181,19.850000381469727,78,0.0001
2021-10-13,57401.09765625,18.63999938964844,0.0242686183421181,-0.0609572276356651,70,0.00010776333333333334,-0.0013862839213726,18.63999938964844,70,0.00010776333333333334
2021-10-14,57321.5234375,16.860000610351562,-0.0013862839213726,-0.0954934998702511,70,-0.00019240000000000001,0.0745344074099565,16.860000610351562,70,-0.00019240000000000001
2021-10-15,61593.94921875,16.299999237060547,0.0745344074099565,-0.0332147896214897,71,-0.00018619666666666666,0.0076755998930302,16.299999237060547,71,-0.00018619666666666666
2021-10-18,62026.078125,16.309999465942383,0.0076755998930302,0.0006135110030618,78,-0.0008835966666666667,0.036047967727284,16.309999465942383,78,-0.0008835966666666667
2021-10-19,64261.9921875,15.699999809265137,0.036047967727284,-0.037400348047283,75,-0.0003545133333333333,0.0269341751022882,15.699999809265137,75,-0.0003545133333333333
2021-10-20,65992.8359375,15.489999771118164,0.0269341751022882,-0.0133757987705862,82,-0.00045413,-0.0573193136612958,15.489999771118164,82,-0.00045413
2021-10-21,62210.171875,15.010000228881836,-0.0573193136612958,-0.0309877049276211,84,-0.00018342,-0.0243996472642762,15.010000228881836,84,-0.00018342
2021-10-22,60692.265625,15.43000030517578,-0.0243996472642762,0.0279813504256842,75,0.00067744,0.0346128236844363,15.43000030517578,75,0.00067744
2021-10-25,63039.82421875,15.239999771118164,0.0346128236844363,-0.012313709027853,72,0.00041514666666666667,-0.0424498526632005,15.239999771118164,72,0.00041514666666666667
2021-10-26,60363.79296875,15.979999542236328,-0.0424498526632005,0.0485564161569451,76,0.0005002966666666666,-0.0311677937629597,15.979999542236328,76,0.0005002966666666666
2021-10-27,58482.38671875,16.979999542236328,-0.0311677937629597,0.0625782245710913,73,0.00057687,0.0365879390369336,16.979999542236328,73,0.00057687
2021-10-28,60622.13671875,16.530000686645508,0.0365879390369336,-0.0265017001014331,66,0.0001,0.026489137663525,16.530000686645508,66,0.0001
2021-10-29,62227.96484375,16.260000228881836,0.026489137663525,-0.0163339653084106,70,0.0001,-0.0051297477399965,16.260000228881836,70,0.0001
2021-11-01,61004.40625,16.40999984741211,-0.0051297477399965,0.0092250686604442,74,-0.00016458,0.0364235344680532,16.40999984741211,74,-0.00016458
2021-11-02,63226.40234375,16.030000686645508,0.0364235344680532,-0.0231565608957959,73,0.0001,-0.0040545635881074,16.030000686645508,73,0.0001
2021-11-03,62970.046875,15.100000381469728,-0.0040545635881074,-0.0580162361409353,76,0.0001424266666666667,-0.0241037839667321,15.100000381469728,76,0.0001424266666666667
2021-11-04,61452.23046875,15.4399995803833,-0.0241037839667321,0.0225165026704774,73,0.0001,-0.0053139598841096,15.4399995803833,73,0.0001
2021-11-05,61125.67578125,16.479999542236328,-0.0053139598841096,0.0673575123133007,73,0.0007092333333333332,0.0669515471811146,16.479999542236328,73,0.0007092333333333332
2021-11-08,67566.828125,17.219999313354492,0.0669515471811146,0.0449028999801626,75,0.00027834666666666665,-0.0088060963717171,17.219999313354492,75,0.00027834666666666665
2021-11-09,66971.828125,17.780000686645508,-0.0088060963717171,0.0325204062497681,84,0.00037930666666666674,-0.0295138674213993,17.780000686645508,84,0.00037930666666666674
2021-11-10,64995.23046875,18.729999542236328,-0.0295138674213993,0.0534307547189445,75,0.0014218233333333334,-0.0006965054346836,18.729999542236328,75,0.0014218233333333334
