Date,FundingRate
17/01/23 0:00,0.0001
16/01/23 16:00,0.0001
16/01/23 8:00,0.0001
16/01/23 0:00,0.0001
15/01/23 16:00,0.0001
15/01/23 8:00,0.0001
15/01/23 0:00,0.0001
14/01/23 16:00,0.0001
14/01/23 8:00,0.00026293
14/01/23 0:00,-2.02E-05
13/01/23 16:00,-0.00021416
13/01/23 8:00,-0.00023828
13/01/23 0:00,-0.00039124
12/01/23 16:00,-8.49E-05
12/01/23 8:00,-5.13E-05
12/01/23 0:00,-0.00018609
11/01/23 16:00,-0.00030381
11/01/23 8:00,-0.00030872
11/01/23 0:00,-0.00031827
10/01/23 16:00,-0.000132
10/01/23 8:00,8.76E-06
10/01/23 0:00,3.77E-05
09/01/23 16:00,-0.00014814
09/01/23 8:00,-0.00017918
09/01/23 0:00,-0.00025263
08/01/23 16:00,-0.00014268
08/01/23 8:00,-0.00033599
08/01/23 0:00,-0.0003418
07/01/23 16:00,-0.00027892
07/01/23 8:00,-0.00031663
07/01/23 0:00,-0.00013425
06/01/23 16:00,-0.00010758
06/01/23 8:00,-0.00024618
06/01/23 0:00,-0.00028864
05/01/23 16:00,-0.00047537
05/01/23 8:00,-0.00054583
05/01/23 0:00,-0.00046954
04/01/23 16:00,2.93E-05
04/01/23 8:00,7.60E-05
04/01/23 0:00,-0.00022275
03/01/23 16:00,7.90E-05
03/01/23 8:00,-9.65E-05
03/01/23 0:00,-7.76E-05
02/01/23 16:00,-0.00012851
02/01/23 8:00,-5.59E-05
02/01/23 0:00,6.80E-05
01/01/23 16:00,-0.00015462
01/01/23 8:00,-6.02E-05
01/01/23 0:00,-0.00012422
31/12/22 16:00,-9.10E-07
31/12/22 8:00,-0.00010548
31/12/22 0:00,-0.00012872
30/12/22 16:00,-0.0001954
30/12/22 8:00,-0.0001663
30/12/22 0:00,-0.00017599
29/12/22 16:00,-0.00014727
29/12/22 8:00,-0.00021296
29/12/22 0:00,-0.00029822
28/12/22 16:00,-0.00028111
28/12/22 8:00,-0.00024022
28/12/22 0:00,-0.00014673
27/12/22 16:00,-6.87E-05
27/12/22 8:00,5.03E-05
27/12/22 0:00,-1.14E-05
26/12/22 16:00,-0.00024985
26/12/22 8:00,-0.00011487
26/12/22 0:00,-0.00021574
25/12/22 16:00,-0.00031164
25/12/22 8:00,-0.00019282
25/12/22 0:00,-0.00034644
24/12/22 16:00,-0.00032722
24/12/22 8:00,-0.00046149
24/12/22 0:00,-0.0003608
23/12/22 16:00,-0.00034915
23/12/22 8:00,-8.51E-05
23/12/22 0:00,-0.00013807
22/12/22 16:00,-0.00020993
22/12/22 8:00,-0.00033684
22/12/22 0:00,-0.00040286
21/12/22 16:00,-0.000188
21/12/22 8:00,-0.00024174
21/12/22 0:00,-0.00040738
20/12/22 16:00,-0.00035599
20/12/22 8:00,-0.0002309
20/12/22 0:00,-0.00038139
19/12/22 16:00,-0.00045848
19/12/22 8:00,-0.00099044
19/12/22 0:00,-0.00095279
18/12/22 16:00,-0.00077152
18/12/22 8:00,-0.00117791
18/12/22 0:00,-0.00056342
17/12/22 16:00,-0.00126661
17/12/22 8:00,-0.00148379
17/12/22 0:00,-0.00082028
16/12/22 16:00,-0.00020639
16/12/22 8:00,0.0001
16/12/22 0:00,0.0001
15/12/22 16:00,0.0001
15/12/22 8:00,0.0001
15/12/22 0:00,0.0001
14/12/22 16:00,0.0001
